UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
080076,TRANSPORTATION SERVICES,2013.0,FORD,F450,1US5TTDMZZ,TRK-UTLTY-SC CL5 4X2 10Y DIESEL CMPR,CLASS5,TRUCK- UTILI,TRUCK - UTILITY,MEDIUM DUTY,DIESEL,10.353883085997,10.0,41359.0,Replacement Program,,TS6010,TS6010,ELLESMERE GARAGE,,195 BERMONDSEY RD,V4OVR,B6AD---8,080FORDDI13,STANDARD CAB WITH UTILITY BODY
080088,TRANSPORTATION SERVICES,2016.0,FORD,F450,1US5TTDMZZ,TRK-UTLTY-SC CL5 4X2 10Y DIESEL CMPR,CLASS5,TRUCK- UTILI,TRUCK - UTILITY,MEDIUM DUTY,DIESEL,7.16758171613394,10.0,42522.0,Active Unit,,TS6010,TS6010,INGRAM GARAGE,005495,1401 CASTLEFIELD AVE,V4UND,B6AD---8,080FORDDI16,Standard Cab w/ Utility Body and Compressor
047031,"PARKS, FORESTRY & RECREATION",2008.0,CHEVROLET,COLORADO,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,CLASS1,PICKU-COMP,PICKUP - COMPACT,LIGHT DUTY,UNLEADED,15.0360748668189,10.0,39650.0,  Active Unit ,,P00483,P00483,ELLESMERE GARAGE,0520-1,50 BOOTH AVE,V1.5OVR,BYAC---8,047CHEVUN08A,4X4 EXT. CAB COMPACT PICKUP TRUCK
318048,"PARKS, FORESTRY & RECREATION",2021.0,JOHN DEERE,JD3046,GRZEFWDZZZ,GM-TRACTOR 41-50HP 4X4 12Y DIESEL,GROUND,GROUNT-TRACTOR,318JOHNDI21,OFF-ROAD,DIESEL / DYED DIESEL,1.512787195586,12.0,44586.0,Active Unit,,P07648,P07648,FINCH GARAGE,1000 JANE ST,,H6AE----,0.0,2021 JOHN DEERE JD3046 46HP FARM TRACTOR,STANDARD
222029,SOLID WASTE MANAGEMENT,2019.0,MACK,TERRAPRO,9EQ8TSCZZZ,PACK-REARLCO-11CUYD CL8 4X2 6Y CNG,CLASS8,TRUCK-RLOAD,TRUCK - REAR LOADER,HEAVY DUTY,NATURAL GAS,3.79223925038052,6.0,43754.0,Active Unit,,SW1060,SW1060,ELLESMERE GARAGE,3892-1,1076 ELLESMERE RD,V8UND,B6ADRLP9,222MACKNG19,CNG CAB OVER CHASSIS WITH KANN 11 CU.YD DUAL STREAM REAR LOADING PACKER
208010,"PARKS, FORESTRY & RECREATION",2012.0,ford,F550,1US5TTDNZZ,TRK-UTLTY-SC CL5 4X2 10Y DIESEL AERIAL,CLASS5,TRUCK- UTILI,TRUCK - UTILITY,  MEDIUM DUTY ,DIESEL,10.9429241818874,10.0,41144.0,Active Unit,Y,P03651,P03651,ELLESMERE GARAGE,003896,70 NASHDENE RD,V4OVR,B6ADR--8,208FORDDI12A,STD. CAB TRUCK WITH UTILITY BODY AND AERIAL BUCKET DEVICE
067113,"PARKS, FORESTRY & RECREATION",2022.0,CHEVROLET,SILVERADO 2500,5TC2FTUZZZ,PU-3/4T-CC CL2 4X4 10Y UNLEAD,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,UNLEADED,0.397718702435312,10.0,44993.0,Active Unit,,P00427,P00427,FINCH GARAGE,004301,27 TORYORK DR,V1.5UND,B6AD---8,067CHEVUN22D,"2022 Chevrolet Silverado 2500HD 4WD Crew Cab, Long Box With Winch"
041174,TRANSPORTATION SERVICES,2016.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,7.79497897640791,8.0,42293.0,Active Unit,,TS8030,TS8030,EASTERN GARAGE,005181,55 JOHN ST,V1.5UND,BYAC---8,041FORDUN16,AWD SPORT UTILITY VEHICLE
319117,EXHIBITION PLACE,2010.0,JOHN DEERE,4520,GRZFFWDZZZ,GM-TRACTOR 51-60HP 4X4 12Y DIESEL,12.0,319JOHNDI10,60HP 4WD UTILITY TRACTOR,OFF-ROAD,DYED DIESEL,13.2908693873668,,CANADIAN NATIONAL EXHIBITION,Active Unit,10000336,10000336,,Active Unit,,,0.0,4200.0,STANDARD,NO_PM_HR
319162,"PARKS, FORESTRY & RECREATION",2016.0,JOHN DEERE,JD3046,GRZEFWDSPZ,GM-TRACTOR 41-50HP 4X4 12Y DIESEL SPPL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,diesel / dyed diesel,6.79771870243531,12.0,42657.0,Active Unit,,P00271,P00271,EASTERN GARAGE,001984,30 NORTHLINE RD,STANDARD,H6AE----,318JOHNDI16,2016 JOHN DEERE JD3046 46HP FARM TRACTOR
